WorkOrderID,ProductID,OrderQty,StockedQty,ScrappedQty,StartDate,EndDate,DueDate,ScrapReasonID,ModifiedDate,,
6039,811,336,900,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
6079,811,94,867,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
6127,811,870,772,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
6207,811,44,538,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
6381,811,417,315,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
6468,811,56,746,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
6754,811,83,389,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
6911,811,95,636,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
6960,811,113,670,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
7007,811,568,827,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
7146,811,206,605,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
7248,811,430,534,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
7292,811,3,327,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
7336,811,22,706,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
7431,811,349,604,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
7640,811,85,813,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
7911,811,14,807,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
8037,811,37,536,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
8230,811,80,869,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
8318,811,30,832,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
8409,811,52,886,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
8498,811,234,873,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
8694,811,5,871,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
8823,811,670,872,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
8917,811,22,356,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
9016,811,602,550,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
9179,811,141,864,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
9551,811,468,602,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
9746,811,194,410,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
9855,811,772,636,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
9899,811,68,443,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
10043,811,837,847,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
10135,811,130,840,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
10371,811,364,667,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
10475,811,783,633,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
10553,811,874,509,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
10608,811,335,834,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
10689,811,856,375,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
10804,811,263,868,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
10859,811,764,893,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
10906,811,139,591,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
11134,811,243,498,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
11805,811,354,882,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
11932,811,3,809,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
12098,811,555,604,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
12268,811,50,820,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
12444,811,418,874,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
12486,811,33,411,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
12590,811,813,571,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
12677,811,25,762,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
12724,811,71,592,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
13388,811,84,731,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
13441,811,48,719,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
13524,811,734,770,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
13746,811,201,433,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
14193,811,723,444,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
14236,811,665,384,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
14282,811,100,338,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
14331,811,86,448,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
14409,811,2,610,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
14454,811,55,622,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
14631,811,782,828,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
14676,811,16,300,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
14729,811,82,414,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
14778,811,63,555,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
14873,811,36,672,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
14998,811,328,632,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
15290,811,513,830,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
15452,811,39,608,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
15505,811,92,365,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
15653,811,264,649,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
15816,811,190,557,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
15907,811,548,328,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
16111,811,61,756,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
16167,811,422,563,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
16334,811,802,387,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
16777,811,79,875,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
16822,811,745,706,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
16976,811,522,333,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
17032,811,143,522,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
17091,811,9,846,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
17312,811,378,779,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
17817,811,189,685,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
17864,811,528,793,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
17964,811,447,487,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
18065,811,358,657,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
18361,811,192,332,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
18421,811,163,349,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
18474,811,878,496,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
18698,811,344,552,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
18759,811,320,409,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
18817,811,77,440,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
18971,811,17,789,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
19147,811,78,483,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
19712,811,14,474,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
19762,811,94,868,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
19816,811,37,858,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
20281,811,861,858,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
20474,811,679,306,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
20739,811,69,588,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
20780,811,576,403,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
21220,811,66,450,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
21270,811,819,368,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
21658,811,780,552,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
21852,811,352,498,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
22077,811,7,623,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
22135,811,718,717,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
22195,811,10,821,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
22247,811,126,603,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
22302,811,7,441,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
22382,811,401,325,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
22485,811,524,481,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
22783,811,545,804,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
22964,811,128,732,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
23067,811,36,717,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
23117,811,743,536,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
23215,811,25,828,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
23339,811,583,357,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
23695,811,53,559,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
23743,811,545,417,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
23856,811,50,476,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
24058,811,83,873,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
24392,811,36,542,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
24443,811,212,381,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
24674,811,719,695,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
24788,811,295,527,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
24917,811,67,876,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
24980,811,69,679,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
25096,811,709,605,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
25723,811,390,549,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
25776,811,44,669,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
26248,811,90,304,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
26338,811,204,342,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
26694,811,31,537,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
26743,811,59,884,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
26947,811,697,801,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
26998,811,820,601,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
27052,811,386,309,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
27145,811,62,447,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
27205,811,22,624,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
27327,811,69,786,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
27374,811,850,829,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
27432,811,682,834,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
27477,811,158,513,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
27855,811,54,800,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
28779,811,34,476,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
29503,811,42,719,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
29659,811,731,818,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
29831,811,885,696,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
29879,811,799,344,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
30307,811,22,403,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
30488,811,413,454,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
31236,811,93,503,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
31707,811,741,607,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
31832,811,640,566,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
32064,811,60,525,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
32661,811,26,656,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
32930,811,204,743,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
33051,811,429,392,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
33242,811,35,301,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
33363,811,515,502,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
33418,811,313,775,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
33479,811,719,445,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
33776,811,96,895,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
33922,811,42,729,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
34092,811,16,817,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
34277,811,354,497,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
34335,811,338,374,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
35070,811,35,653,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
35374,811,72,692,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
35432,811,99,531,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
35494,811,548,675,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
35735,811,535,412,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
35795,811,724,879,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
36099,811,589,423,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
36217,811,28,746,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
36439,811,74,364,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
36493,811,883,755,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
37177,811,114,653,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
37675,811,90,755,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
38470,811,869,411,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
38879,811,22,608,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
39145,811,187,643,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
39467,811,197,439,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
39548,811,7,863,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
39631,811,63,721,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
39762,811,224,697,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
40327,811,572,654,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
40546,811,561,787,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
41109,811,591,636,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
41458,811,432,500,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
42469,811,32,329,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
43582,811,790,872,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
44017,811,751,434,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
44289,811,12,341,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
44371,811,120,826,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
44452,811,41,578,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
46284,811,84,733,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
46798,811,596,546,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
47715,811,412,400,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
49255,811,575,718,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
49621,811,4,432,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
51459,811,108,550,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
52163,811,24,520,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
53519,811,73,359,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
53917,811,9,320,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
54093,811,25,785,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
54736,811,78,694,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
57322,811,357,385,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
58714,811,57,655,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
60818,811,47,714,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
61824,811,253,655,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
62432,811,8,828,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
62613,811,40,467,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
63352,811,607,561,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
64114,811,825,566,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
64304,811,237,708,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
68717,811,786,614,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
782,739,56,359,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
1013,739,81,510,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
1545,739,417,355,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
3214,739,19,687,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
4031,739,1,593,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
4439,739,726,336,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
4870,739,4,620,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
5189,739,4,405,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
5234,739,636,621,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
6424,739,713,337,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
6682,739,62,396,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
7832,739,38,383,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
8363,739,387,302,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
8573,739,32,306,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
8690,739,892,836,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
9742,739,344,511,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
9970,739,885,461,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
10367,739,124,670,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
11039,739,728,331,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
11176,739,51,367,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
11248,739,392,365,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
11413,739,553,703,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
11928,739,45,358,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
12673,739,176,466,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
12769,739,213,525,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
13333,739,235,537,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
13383,739,18,680,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
13882,739,30,804,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
14135,739,195,367,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
14188,739,69,899,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
14867,739,32,614,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
14950,739,177,410,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
15042,739,598,505,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
15595,739,473,841,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
16385,739,326,882,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
16471,739,543,753,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
16569,739,535,512,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
16675,739,200,620,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
16818,739,187,504,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
16914,739,198,849,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
16972,739,836,643,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
17260,739,65,656,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
17364,739,607,554,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
17412,739,72,895,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
17958,739,100,390,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
18062,739,97,725,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
18302,739,182,542,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
18356,739,87,837,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
19094,739,32,857,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
19811,739,536,463,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
19868,739,674,636,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
19923,739,15,647,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
20035,739,561,744,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
20099,739,20,340,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
20777,739,51,376,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
21171,739,78,828,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
21370,739,2,828,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
21600,739,252,808,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
21898,739,66,849,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
22018,739,707,658,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
22129,739,65,691,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
22429,739,401,505,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
23016,739,10,829,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
23113,739,842,852,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
23296,739,245,461,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
23336,739,897,891,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
23587,739,617,527,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
23692,739,340,605,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
23740,739,15,845,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
23799,739,626,863,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
24387,739,54,810,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
24730,739,109,857,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
24975,739,619,841,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
25040,739,734,300,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
25208,739,23,672,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
25262,739,14,660,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
25316,739,509,715,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
25479,739,75,460,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
25602,739,594,337,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
25717,739,390,831,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
25882,739,816,466,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
25984,739,319,778,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
26887,739,270,807,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
26942,739,82,315,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
27047,739,500,866,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
27140,739,24,567,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
27322,739,97,770,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
27371,739,52,586,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
27908,739,228,660,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
27972,739,1,801,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
28199,739,829,618,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
28303,739,589,465,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
28389,739,36,544,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
29041,739,452,722,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
29602,739,309,404,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
29826,739,99,688,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
30054,739,24,699,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
30241,739,638,373,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
30301,739,701,756,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
30485,739,408,728,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
30677,739,83,851,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
30865,739,256,841,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
